"name","detail_link","registration_id","address","business_status"
"InCheck Inc","/online/DatabrokerInquire/DataBrokerInformation?businessID=351573","0351573","7500 W. State St. Ste. 200, Wauwatosa, WI, 53213, USA","Expired"
"Inflection.com, Inc","/online/DatabrokerInquire/DataBrokerInformation?businessID=351593","0351593","555 Twin Dolphin Dr., Ste 200, REDWOOD CITY, CA, 94065, USA","Cancelled"
"Inflection Risk Solutions, LLC","/online/DatabrokerInquire/DataBrokerInformation?businessID=351595","0351595","303 Twin Dolphin Dr., Ste 600, REDWOOD CITY, CA, 94065, USA","Expired"
"Neustar, Inc.","/online/DatabrokerInquire/DataBrokerInformation?businessID=351777","0351777","21575 Ridgetop Circle, Sterling, VA, 20166, USA","Expired"
"ID Analytics, LLC","/online/DatabrokerInquire/DataBrokerInformation?businessID=351838","0351838","1000 Alderman Drive, Alpharetta, GA, 30005, USA","Cancelled"
"SageStream, LLC","/online/DatabrokerInquire/DataBrokerInformation?businessID=351853","0351853","15253 Avenue of Science, San Diego, CA, 92128, USA","Expired"
"Reveal Mobile Inc","/online/DatabrokerInquire/DataBrokerInformation?businessID=352067","0352067","3344 Hillsborough St, Suite 200, Raleigh, NC, 27607, USA","Expired"
"Infutor Data Solutions","/online/DatabrokerInquire/DataBrokerInformation?businessID=352189","0352189","18W140 Butterfield Rd, Ste 1020, Oakbrook Terrace, IL, 60181, USA","Expired"
"Edvisors Network, Inc.","/online/DatabrokerInquire/DataBrokerInformation?businessID=352258","0352258","10000 W. Charleston Blvd., Suite 200, Las Vegas, NV, 89135, USA","Expired"
"Spokeo, Inc.","/online/DatabrokerInquire/DataBrokerInformation?businessID=352267","0352267","199 S. Los Robles Ave #711, Pasadena, CA, 91101, USA","Expired"
"KBM GROUP LLC","/online/DatabrokerInquire/DataBrokerInformation?businessID=352336","0352336","2050 Dogwood Street, Suite 220, Louisville, CO, 80027, USA","Expired"
"Datamyx LLC dba Deluxe Marketing Solutions","/online/DatabrokerInquire/DataBrokerInformation?businessID=352385","0352385","2300 Glades Road, Suite 400E, Boca Raton, FL, 33431, USA","Expired"
"Digital Segment, LLC","/online/DatabrokerInquire/DataBrokerInformation?businessID=352397","0352397","10365 High Falls Circle, Johns Creek, GA, 30022, USA","Expired"
"MCH, Inc.   (DBA: MCH Strategic Data)","/online/DatabrokerInquire/DataBrokerInformation?businessID=352467","0352467","601 East Marshall Street, PO Box 295, Sweet Springs, MO, 65351, USA","Expired"
"Skipmasher, Inc.","/online/DatabrokerInquire/DataBrokerInformation?businessID=352471","0352471","PO Box 891329, Temecula, CA, 92589, USA","Expired"
